,Número dedeclaraciones,Renta brutamedia,Rentadisponiblemedia,Rentas del trabajo,Rentasexentas,Rentabruta,Cotizacionessocialesa la SS,Cuota resultante deautoliquidación,Rentadisponible
36212-Alcabre-Navia,7.569,29.952,24.229,191.840.954,7.571.788,226.707.715,10.583.714,32.735.689,183.388.311
36213-Comesaña-Matamá,6.307,26.849,22.096,144.247.052,5.849.584,169.339.683,6.768.217,23.217.308,139.358.734
36214-Sárdoma-Lavadores,4.845,24.341,20.386,98.266.302,4.515.828,117.933.399,4.803.239,14.365.067,98.770.072
36215-Cabral-Lavadores,3.541,24.342,20.446,72.401.869,3.279.979,86.194.115,3.699.159,10.097.640,72.397.541
36216-Teis,1.798,23.305,19.651,35.654.299,1.775.450,41.902.742,1.636.206,4.934.071,35.332.466
36312-Beade,2.428,25.944,21.553,52.787.270,2.304.225,62.992.968,2.578.839,8.084.591,52.329.538
36313-Bembrive,1.188,26.586,21.810,27.377.417,920.142,31.584.749,1.251.603,4.422.870,25.910.276
36314-Valadares zona Parque tecnológico y logístico,984,23.554,19.835,19.354.048,861.002,23.176.730,1.007.479,2.651.505,19.517.746
36315-Valadares- A Piquela- Alba- San Juan- Sobreira,1.560,25.080,20.776,32.698.816,1.015.820,39.125.324,1.668.560,5.045.574,32.411.191
36317-Candeán,2.049,24.583,20.456,42.879.545,1.895.487,50.370.057,2.157.831,6.300.095,41.914.794
36318-Cabral,1.717,23.818,19.991,34.830.431,1.394.786,40.894.867,1.709.300,4.861.602,34.323.965
36330-Coruxo,1.291,25.485,21.248,26.748.559,1.105.156,32.901.378,1.346.392,4.125.264,27.431.606
36331-Coruxo,1.292,35.385,27.869,35.574.011,948.232,45.717.213,1.602.614,8.107.960,36.006.639
36390-Oya,2.034,37.508,29.292,56.288.695,1.878.451,76.291.686,2.555.429,14.159.130,59.579.140
Resto,1.305,34.318,27.159,32.588.529,1.338.871,44.784.665,1.513.722,7.829.050,35.441.893
Alcalá de Henares-28005,98.629,30.002,24.402,2.545.974.726,107.756.201,2.959.059.180,121.161.795,431.214.406,2.406.724.213
28801-Universidad de Alcalá,4.579,34.104,26.926,128.886.639,4.677.245,156.159.979,5.634.746,27.229.172,123.296.175
28802-Museo Arquelógico Regional-Av. Madrid,10.366,23.038,19.469,210.565.562,10.727.337,238.808.155,10.506.328,26.487.711,201.816.002
28803-Av Reyes Católicos-Calle Ronda Fiscal,14.764,25.531,21.268,331.957.785,14.410.867,376.946.369,16.142.607,46.820.429,313.997.520
28804-Ciudad Deportiva Municipal Del Val-Av.Lope de Figueroa,15.961,29.554,24.319,395.592.787,15.187.531,471.715.631,16.333.479,67.225.693,388.162.114
28805-Hospital Universitario-Centro Penitenciario,14.226,32.297,26.032,389.265.223,15.239.805,459.451.480,17.329.357,71.804.781,370.329.341
28806-Polígonos Industriales,32.689,33.112,26.525,942.728.888,42.480.492,1.082.402.857,48.736.818,166.590.982,867.082.422
28807-Estación,5.805,28.549,23.404,141.329.691,4.743.720,165.728.673,6.165.575,23.700.118,135.863.008
Resto,239,32.829,25.848,5.648.151,289.205,7.846.036,312.886,1.355.519,6.177.630
Alcobendas-28006,56.589,58.526,43.720,2.270.691.045,85.898.503,3.311.920.933,79.964.788,757.923.004,2.474.097.714
28100-Valdelasfuentes,45.030,35.353,28.013,1.311.393.213,58.405.128,1.591.949.881,59.577.930,270.978.834,1.261.434.839
28108-La Granja-Campus Empresarial,3.588,67.736,49.608,187.763.184,8.062.600,243.035.994,6.916.569,58.134.704,177.992.239
28109-La Moraleja,7.665,190.949,133.626,762.811.989,18.784.955,1.463.627.502,13.052.922,426.347.958,1.024.241.955
Resto,306,43.489,34.081,8.722.659,645.820,13.307.556,417.367,2.461.508,10.428.680
Alcorcón-28007,87.217,30.495,24.816,2.257.826.955,95.309.314,2.659.663.696,106.530.903,388.775.756,2.164.401.890
28921-Centro,14.222,23.273,19.725,284.641.761,12.653.993,330.992.611,13.205.725,37.264.325,280.530.603
28922-Prado de Santo Domingo- Parque Oeste- Fuente Cisneros,33.663,33.159,26.589,942.585.580,39.999.104,1.116.234.343,48.719.780,172.463.997,895.071.829
28923-Parque Ondarreta- Urtinsa,12.757,26.077,21.876,293.108.567,11.422.862,332.659.192,11.687.957,41.905.617,279.074.549
28924-Parque Lisboa- La Paz,13.817,32.651,26.458,378.258.565,16.199.045,451.134.482,16.133.207,69.425.228,365.576.047
28925-San José de Valderas- Los Castillos,12.534,33.698,27.044,354.502.262,14.686.287,422.367.740,16.504.911,66.903.656,338.965.791
Resto,224,28.015,23.139,4.730.220,348.024,6.275.327,279.323,812.933,5.183.071
Fuenlabrada-28058,91.650,24.970,20.851,1.995.913.954,91.655.465,2.288.478.324,106.549.967,270.973.369,1.911.003.481
28941-Las Provincias,14.704,24.708,20.606,321.189.349,13.856.248,363.310.197,16.956.552,43.363.172,302.996.833
28942-Loranca- Universidad Rey Juan Carlos,28.098,27.412,22.598,669.510.933,31.544.279,770.230.991,37.562.845,97.726.022,634.950.954
28943-Avda. Europa- Fuente de las Escaleras- Avda. De las Naciones- Parque Europa,14.948,23.297,19.649,309.144.894,13.576.779,348.243.997,15.581.584,38.963.159,293.710.626
28944-Recinto Ferial- Parque del Olivar,17.335,23.911,20.112,356.646.121,16.844.917,414.503.482,19.168.419,46.700.710,348.644.329
28945-Avda. de la Hispanidad- Calle Leganés,15.533,23.939,20.173,323.474.625,14.785.520,371.849.272,16.409.420,42.106.291,313.345.518
Resto,1.032,19.710,16.817,15.948.033,1.047.722,20.340.384,871.147,2.114.016,17.355.222
Getafe-28065,96.758,30.391,24.715,2.502.170.015,110.466.490,2.940.593.881,126.358.651,422.867.544,2.391.415.066
28901-Getafe Centro-San Isidro,14.009,28.086,23.095,331.295.412,14.759.032,393.463.416,16.359.313,53.567.418,323.544.069
28902-Getafe Centro,5.865,28.106,23.022,138.988.497,5.340.160,164.841.427,6.654.348,23.164.175,135.024.236
28903-Juan de la Cierva-Universidad,27.025,27.039,22.346,628.663.049,26.287.017,730.736.252,31.016.093,95.828.862,603.912.226
28904-Getafe Centro,10.368,27.347,22.554,242.030.343,9.730.920,283.537.966,12.006.963,37.699.001,233.834.816
28905-La Alhóndiga,17.939,34.579,27.751,524.859.621,23.440.259,620.305.828,24.725.442,97.764.009,497.817.116
28906-Los Olivos-Los Ángeles,6.017,32.939,26.493,174.772.423,10.358.269,198.191.626,10.661.400,28.120.395,159.409.831
28907-El Bercial,9.986,36.125,28.698,307.282.308,13.116.369,360.741.159,16.641.688,57.526.100,286.573.371
28909-Perales del Río,5.240,34.112,27.372,147.064.632,7.085.484,178.746.138,7.911.450,27.419.927,143.428.637
Resto,309,32.460,25.472,7.213.730,348.981,10.030.070,381.955,1.777.658,7.870.762
Leganés-28074,93.281,27.753,22.884,2.231.515.474,95.039.953,2.588.815.967,109.500.184,344.782.246,2.134.610.675
28911-Zona centro,10.187,25.724,21.526,218.943.945,8.884.459,262.050.978,10.210.600,32.556.532,219.289.962
28912-Universidad,10.373,22.702,19.367,205.938.531,8.984.631,235.490.135,9.398.557,25.199.121,200.897.419
28913-San Nicasio,7.950,22.665,19.382,158.911.325,7.873.064,180.183.966,7.680.211,18.431.683,154.083.088
28914-Arroyo Culebro-Ciudad del Automóvil-Vereda de los Estudiantes-Polvoranca-Valdepelayo,13.697,34.925,27.848,398.970.128,15.170.188,478.362.785,21.194.003,75.746.927,381.433.285
28915-Zarzaquemada,20.267,24.292,20.602,437.783.973,18.067.123,492.330.339,18.531.297,56.274.593,417.545.015
28916-El Carrascal- Parquesur,8.142,31.155,25.109,219.322.263,8.589.068,253.665.716,10.112.642,39.123.300,204.440.879
28917-La Fortuna,5.687,23.673,19.945,117.783.640,5.721.445,134.628.079,6.447.192,14.751.821,113.429.066
28918-Solagua-Butarque-Campo de Tiro-Quinto Centenario,10.330,34.564,27.586,305.578.628,13.488.802,357.044.817,16.980.583,55.106.001,284.967.201
28919-Leganés Norte-Legatec-Prado Overa,6.380,29.447,23.926,162.950.550,7.949.154,187.874.086,8.629.462,26.599.178,152.648.422
Resto,268,26.810,21.927,5.332.491,312.020,7.185.065,315.637,993.090,5.876.339
Madrid-28079,1.849.834,41.042,31.940,57.163.829.241,2.548.602.995,75.921.336.367,2.401.793.100,14.439.106.192,59.083.045.626
28001-Salamanca- Goya,14.927,99.147,73.360,667.322.688,27.115.841,1.479.971.325,20.101.712,364.848.279,1.095.039.693
28002-Chamartín,40.032,54.553,41.291,1.524.513.754,63.064.846,2.183.863.297,55.372.873,475.598.667,1.652.952.693
28003-Chamberí-Rios Rosas,33.864,57.611,43.380,1.326.657.820,55.140.131,1.950.944.373,47.054.240,435.403.399,1.469.026.312
28004-Justicia,23.614,48.482,36.661,779.330.756,32.731.266,1.144.857.495,33.046.134,246.127.316,865.721.101
28005-Arganzuela,51.479,39.451,30.822,1.627.517.116,66.925.751,2.030.899.900,70.442.681,373.806.160,1.586.707.779
28006-Castellana,23.661,84.420,62.343,1.055.395.840,45.246.898,1.997.466.601,32.720.477,489.704.689,1.475.102.507
28007-Adelfas,51.170,45.950,35.535,1.809.120.596,74.032.951,2.351.238.646,66.788.704,466.171.845,1.818.323.436
28008-Moncloa,22.838,54.297,41.479,802.614.700,32.519.874,1.240.030.663,29.695.291,263.071.018,947.299.420
28009-Ibiza-Niño Jesús,26.698,59.436,44.942,1.025.298.000,42.543.937,1.586.810.799,35.926.394,351.073.641,1.199.859.064
28010-Almagro,26.037,70.444,52.329,1.095.433.695,41.847.165,1.834.153.337,37.411.947,434.296.461,1.362.490.295
28011-Latina,36.750,29.233,23.846,902.802.722,39.141.368,1.074.318.916,41.547.387,156.466.754,876.325.296
28012-Embajadores,26.809,33.415,26.447,683.578.552,29.794.565,895.824.502,33.641.594,153.180.699,709.028.878
28013-Centro,7.402,44.204,34.051,215.847.998,9.289.204,327.201.353,9.150.882,66.011.391,252.045.196
28014-Retiro,10.173,60.918,46.212,366.520.427,15.401.216,619.718.181,12.905.916,136.725.653,470.109.911
28015-Universidad,39.963,46.374,35.673,1.339.350.236,54.044.655,1.853.229.401,53.098.346,374.595.166,1.425.603.431
28016-Hispanoamerica-Costillares,22.985,70.654,52.174,1.042.259.004,46.696.609,1.623.976.903,32.608.020,392.227.039,1.199.211.217
28017-Ventas-Ciudad Lineal-La Elipa,55.687,27.477,22.618,1.311.609.393,54.700.472,1.530.128.767,61.816.758,208.884.677,1.259.502.146
28018-Palomeras,33.225,24.517,20.458,696.542.369,36.917.201,814.568.445,35.486.524,99.378.073,679.721.800
28019-Opañel-Comillas-San Isidro,47.809,27.218,22.399,1.097.802.254,48.959.836,1.301.281.721,51.743.635,178.718.832,1.070.854.368
28020-Tetuán-Castillejos-Cuatro Caminos,36.214,45.758,35.279,1.228.677.355,54.258.742,1.657.066.173,49.498.668,329.993.100,1.277.610.731
28021-Villaverde-S. Cristóbal de Los Ángeles,45.390,23.903,20.031,947.895.455,48.842.212,1.084.956.001,50.397.740,125.355.698,909.225.267
28022-San Blas,43.265,35.451,28.132,1.287.379.491,61.552.832,1.533.788.696,62.259.605,254.434.206,1.217.127.056
28023-Aravaca,21.082,93.993,67.312,1.197.946.283,49.388.782,1.981.570.767,34.994.771,527.528.618,1.419.080.223
28024-Campamento,27.660,28.755,23.761,684.189.190,28.223.932,795.363.075,28.473.326,109.700.681,657.219.677
28025-Carabanchel-Abrantes,43.233,25.432,21.152,917.735.023,42.557.806,1.099.509.510,44.862.482,140.209.980,914.455.852
28026-Usera,34.270,24.534,20.437,706.822.948,32.944.733,840.786.268,34.740.343,105.700.779,700.375.390
28027-San Juan Bautista,45.289,38.763,30.445,1.376.293.133,60.039.551,1.755.557.406,58.258.638,318.564.512,1.378.808.624
28028-Guindalera-Fuente El Berro,41.409,45.403,35.051,1.436.702.979,61.842.566,1.880.107.244,57.074.633,371.658.830,1.451.408.708
28029-Tetuán-Valdeacederas-Barrio del Pilar,49.434,33.548,26.870,1.388.153.693,57.682.275,1.658.419.267,58.099.885,272.070.547,1.328.270.732
28030-Moratalaz,52.419,31.807,25.726,1.412.241.592,63.571.964,1.667.314.119,60.496.019,258.362.359,1.348.514.813
28031-Villa Vallecas-Santa Eugenia,44.637,28.447,23.272,1.093.469.608,53.944.559,1.269.786.268,56.607.632,174.423.931,1.038.795.006
28032-Vicalvaro- Valdebernardo,42.425,31.436,25.346,1.138.393.307,53.987.679,1.333.683.695,58.860.097,199.551.589,1.075.299.722
28033-Hortaleza-Pinar Del Rey,47.929,42.679,33.099,1.597.692.272,76.274.309,2.045.547.996,62.934.177,396.256.316,1.586.412.729
28034-Tres Olivos,42.091,52.613,39.849,1.653.105.778,68.062.258,2.214.547.466,56.208.883,481.100.206,1.677.283.485
28035-Fuencarral,46.110,50.856,38.768,1.733.323.374,78.330.516,2.344.984.212,64.583.949,493.041.358,1.787.591.765
28036-Nueva España,18.330,85.846,62.363,939.871.932,39.908.934,1.573.553.211,28.082.671,402.380.409,1.143.117.799
28037-San Blas,28.532,27.466,22.447,672.993.682,34.829.387,783.669.306,33.594.575,109.650.546,640.445.584
28038-Pavones,43.602,23.544,19.834,879.835.202,45.703.173,1.026.572.959,43.543.187,118.268.753,864.810.533
28039-Bellas Vistas-Valdeacederas,44.086,31.338,25.181,1.163.544.786,50.924.000,1.381.556.450,55.727.420,215.763.339,1.110.126.975
28040-Ciudad Universitaria,5.818,60.546,45.919,220.653.394,7.191.292,352.257.336,7.887.207,77.215.313,267.154.816
28041-Orcasitas-San Fermín,51.258,25.587,21.301,1.124.553.896,56.250.274,1.311.516.571,55.496.931,164.232.305,1.091.832.885
28042-Barajas-La Alameda de Osuna,32.452,48.238,36.768,1.234.168.466,58.032.433,1.565.430.748,49.949.725,322.335.404,1.193.183.779
28043-Hortaleza-Canillas,48.750,57.751,43.403,1.932.970.755,79.312.901,2.815.348.064,69.846.530,629.646.687,2.115.920.358
28044-Cuatrovientos,36.048,27.085,22.468,849.997.916,36.781.333,976.367.307,38.407.604,128.074.708,809.909.840
28045-Delicias,57.003,39.380,30.721,1.849.298.842,78.723.452,2.244.787.997,85.085.659,408.564.493,1.751.187.615
28046-Castilla -Chamartín,6.562,72.899,54.246,262.580.130,11.011.181,478.366.246,8.656.194,113.767.475,355.959.853
28047-Aluche-Vista Alegre,39.728,27.612,22.831,934.480.187,38.839.035,1.096.965.824,40.038.265,149.927.967,907.023.954
28048-Fuencarral El Pardo,1.849,32.468,26.433,51.418.254,2.614.750,60.034.201,2.251.745,8.907.288,48.875.168
28049-El Goloso,10.797,60.617,45.230,505.300.082,28.379.963,654.477.427,22.230.762,143.920.548,488.343.143
28050-Las Tablas,44.141,54.676,40.987,1.945.788.956,97.927.568,2.413.451.591,87.040.931,517.237.433,1.809.192.664
28051-Villa de Vallecas,21.249,32.416,25.977,599.863.539,30.085.627,688.807.193,34.448.671,102.387.700,551.975.357
28052-El Cañaveral,4.770,32.327,25.763,131.171.315,7.675.070,154.198.537,7.925.100,23.383.895,122.889.543
28053-Entrevías-Puente de Vallecas,26.490,21.022,17.881,481.905.745,27.473.989,556.885.435,25.332.565,57.885.197,473.678.613
28054-Buenavista-La Fortuna,16.334,35.015,27.842,498.211.190,20.338.276,571.943.019,28.583.667,88.587.835,454.771.806
28055-Valdebebas-Valdefuentes,12.286,63.064,46.667,600.161.494,36.820.739,774.800.442,26.432.831,175.030.538,573.349.198
Resto,41.769,34.400,26.979,1.115.520.078,52.161.118,1.436.873.713,52.320.496,257.695.890,1.126.891.821
Móstoles-28092,101.047,26.547,22.057,2.329.243.116,104.512.369,2.682.461.806,111.939.490,341.835.075,2.228.751.596
28931-Av. Portugal-Parque Cuartel Huerta,8.703,22.915,19.507,174.024.726,7.761.928,199.430.073,7.970.287,21.694.291,169.767.581
28932-Av. Alcalde Móstoles-Av. Portugal,7.022,27.907,23.118,170.369.278,6.501.932,195.959.589,6.946.151,26.680.155,162.336.725
28933-A5-Av. Portugal,14.204,28.536,23.520,351.910.951,14.916.637,405.326.977,15.367.937,55.933.040,334.074.021
28934-Casco Antiguo,8.580,22.757,19.464,172.531.706,7.602.220,195.255.181,7.627.839,20.626.372,167.001.229
28935-Móstoles-El Soto,20.592,28.901,23.624,505.437.926,22.280.066,595.129.406,25.721.368,82.957.815,486.458.669
28936-Av. Carlos V-Av. Onu-Osa Mayor,10.281,26.242,21.835,236.351.334,9.930.572,269.792.002,11.395.965,33.914.071,224.482.942
28937-Ávila-Castellón-Libertad,10.686,23.974,20.239,222.726.297,10.083.475,256.188.167,10.253.554,29.660.521,216.274.092
28938-P.I. Arroyomolinos-R5,20.685,26.990,22.354,490.551.534,25.113.622,558.293.728,26.348.344,69.543.929,462.402.581
Resto,294,24.104,20.251,5.339.364,321.916,7.086.681,308.043,824.881,5.953.757
Parla-28106,55.404,23.931,20.137,1.152.276.619,54.814.683,1.325.853.321,64.109.320,146.104.104,1.115.661.978
28981-La Fuente- La Laguna- Villayuventus- Parque de las Comunidades de España- Fuentebella-Centro,18.611,23.727,19.992,378.511.800,18.405.084,441.589.756,20.740.018,48.796.916,372.063.718
28982-Barrio 2001- Pryconsa- San Ramón,17.470,21.495,18.426,327.714.369,15.671.246,375.511.302,16.999.965,36.614.375,321.896.962
28983-Parque del Universo- El Ferial- Tanatorio,15.824,27.082,22.380,377.152.143,16.996.946,428.537.825,22.279.047,52.130.655,354.139.308
Resto,3.499,22.925,19.309,68.898.307,3.741.407,80.214.439,4.090.291,8.562.158,67.561.991
Pozuelo de Alarcón-28115,46.616,80.244,57.977,2.475.990.136,90.079.998,3.740.652.984,74.120.426,963.975.310,2.702.664.569
28223-Somosaguas-Humera,24.982,95.131,67.705,1.491.116.301,46.460.144,2.376.552.782,39.710.028,645.478.743,1.691.414.048
28224-Pozuelo de Alarcón,21.375,63.356,46.942,978.158.405,43.168.979,1.354.239.462,34.109.735,316.794.662,1.003.391.975
Resto,259,38.072,30.342,6.715.430,450.875,9.860.740,300.663,1.701.905,7.858.545
Las Rozas-28127,51.635,53.604,40.401,2.124.100.937,97.649.070,2.767.825.618,86.265.998,595.520.296,2.086.091.577
28231-El Burgo,20.538,45.952,35.327,738.552.336,33.144.996,943.756.096,30.492.910,187.735.940,725.539.547
28232-La Chopera-Európolis,19.640,59.551,44.347,898.632.166,42.450.416,1.169.585.103,36.902.553,261.727.300,870.980.160
28290-Las Matas,10.036,58.331,43.488,438.012.828,18.759.420,585.411.318,16.633.540,132.339.147,436.449.604
Resto,1.421,48.609,37.384,48.903.607,3.294.238,69.073.101,2.236.996,13.717.909,53.122.266
Torrejón de Ardoz-28148,65.498,27.818,22.875,1.567.302.579,73.968.856,1.822.051.610,82.529.192,241.257.476,1.498.293.196
28850-Barrio de El Castillo- Base Aérea conjunta de Torrejón- Torrejón,65.330,27.823,22.878,1.563.987.933,73.675.882,1.817.663.480,82.337.924,240.716.008,1.494.637.802
Resto,168,26.120,21.758,3.314.645,292.974,4.388.130,191.268,541.468,3.655.394
Cartagena-30016,95.815,27.100,22.401,2.172.952.446,107.721.049,2.596.576.691,102.693.465,347.580.383,2.146.330.984
30201-Parque Arqueológico-Cerro Del Molinete,4.506,40.840,32.292,127.724.589,5.540.452,184.025.983,5.312.670,33.210.845,145.505.812
30202-Los Grifos,4.166,24.581,20.371,85.418.846,4.941.507,102.402.846,4.069.644,13.470.676,84.866.414
30203-San Ginés,10.073,26.416,22.005,228.520.694,12.168.359,266.091.883,9.707.030,34.736.706,221.659.066
30204-Ensanche,8.032,30.768,25.077,207.845.127,9.456.380,247.126.221,8.465.456,37.244.622,201.416.144
30205-Algameca,10.720,29.899,24.386,271.378.883,13.433.250,320.517.602,11.963.984,47.140.439,261.416.532
30300-Peral,8.609,23.625,20.023,180.577.356,9.683.468,203.391.421,8.856.673,22.160.281,172.374.691
30310-Los Dolores,17.586,25.803,21.505,395.109.712,18.933.377,453.780.223,19.645.273,55.949.551,378.186.831
30319-Miranda,3.115,29.378,23.889,76.908.580,3.794.684,91.511.914,4.134.293,12.963.362,74.414.259
30330-Albujón,1.204,21.277,18.190,20.866.003,1.141.208,25.617.953,1.157.416,2.559.654,21.900.883
30366-El Algar,3.021,21.823,18.617,54.952.906,3.150.775,65.926.724,3.156.755,6.528.095,56.241.874
30370-Cabo de Palos,1.587,33.321,26.662,40.450.787,1.505.249,52.880.845,1.895.600,8.673.361,42.311.884
30380-La Manga,990,26.916,21.911,20.906.883,795.822,26.647.128,1.008.343,3.947.168,21.691.904
30385-Los Belones-Las Barracas,1.797,22.371,19.052,31.756.704,1.811.103,40.201.454,1.534.198,4.433.976,34.237.315
30390-La Aljorra,2.023,20.541,17.722,34.470.156,1.940.449,41.555.169,1.977.758,3.725.057,35.852.355
30393-Galifa-El Portús,2.166,26.000,21.622,48.801.151,2.194.726,56.315.275,2.411.466,7.070.173,46.833.636
